date,T_high,T_low,h_rain,h_snow,h_all_precip,temp_src_id,precip_src_id
2014-01-01,-8.4,-14.5,0.0,11.0,0.0,31688.0,
2014-01-02,-14.3,-19.2,0.0,33.0,1.4,31688.0,
2014-01-03,-7.1,-22.3,0.0,0.0,0.0,31688.0,
2014-01-04,0.3,-7.2,0.0,13.0,2.0,31688.0,
2014-01-05,1.4,-1.7,0.0,30.0,13.0,31688.0,
2014-01-06,2.4,-15.8,0.0,14.0,0.4,31688.0,
2014-01-07,-15.8,-22.2,0.0,0.0,0.0,31688.0,
2014-01-08,-7.7,-16.2,0.0,0.0,0.0,31688.0,
2014-01-09,-2.9,-11.8,0.0,28.0,2.1,31688.0,
2014-01-10,4.1,-4.0,8.8,0.0,8.8,31688.0,
2014-01-11,7.3,2.9,0.0,0.0,0.0,31688.0,
2014-01-12,3.4,1.3,2.8,0.0,2.8,31688.0,
2014-01-13,7.4,1.9,0.4,0.0,0.4,31688.0,
2014-01-14,5.3,1.3,0.0,0.0,0.0,31688.0,
2014-01-15,2.4,-3.5,0.0,0.0,0.0,31688.0,
2014-01-16,-0.4,-3.6,0.0,26.0,1.8,31688.0,
2014-01-17,2.3,-1.2,0.0,14.0,0.5,31688.0,
2014-01-18,-0.8,-6.9,0.0,0.0,0.4,31688.0,
2014-01-19,-1.9,-7.2,0.0,20.0,2.1,31688.0,
2014-01-20,-1.8,-16.5,0.0,0.0,0.0,31688.0,
2014-01-21,-14.2,-19.8,0.0,0.0,0.0,31688.0,
2014-01-22,-12.1,-20.5,0.0,0.0,0.0,31688.0,
2014-01-23,-12.2,-17.4,0.0,0.0,0.0,31688.0,
2014-01-24,-6.8,-17.7,0.0,42.0,2.8,31688.0,
2014-01-25,-2.8,-13.8,0.0,15.0,0.9,31688.0,
2014-01-26,-3.8,-14.6,0.0,61.0,4.3,31688.0,
2014-01-27,-3.7,-16.0,0.0,8.0,0.9,31688.0,
2014-01-28,-11.6,-18.6,0.0,0.0,0.0,31688.0,
2014-01-29,-9.2,-16.5,0.0,0.0,0.0,31688.0,
2014-01-30,-0.4,-10.6,0.0,0.0,0.0,31688.0,
2014-01-31,1.5,-2.5,0.0,18.0,1.6,31688.0,
2014-02-01,1.4,-1.1,2.4,70.0,13.3,31688.0,
2014-02-02,0.9,-6.1,0.0,0.0,0.0,31688.0,
2014-02-03,-2.4,-9.7,0.0,0.0,0.0,31688.0,
2014-02-04,-3.9,-10.5,0.0,49.0,4.8,31688.0,
2014-02-05,-5.2,-11.7,0.0,172.0,6.6,31688.0,
2014-02-06,-6.5,-13.2,0.0,0.0,0.0,31688.0,
2014-02-07,-8.5,-13.9,0.0,0.0,0.0,31688.0,
2014-02-08,-8.6,-14.2,0.0,0.0,0.0,31688.0,
2014-02-09,-7.2,-12.1,0.0,14.0,2.2,31688.0,
2014-02-10,-5.7,-12.0,0.0,0.0,0.0,31688.0,
2014-02-11,-8.8,-13.6,0.0,0.0,0.0,31688.0,
2014-02-12,-5.2,-14.1,0.0,0.0,0.0,31688.0,
2014-02-13,-1.6,-9.0,0.0,0.0,0.0,31688.0,
2014-02-14,0.7,-4.4,0.0,0.0,0.0,31688.0,
2014-02-15,-2.4,-11.9,0.0,0.0,0.0,31688.0,
2014-02-16,-6.9,-12.8,0.0,0.0,0.0,31688.0,
2014-02-17,-2.2,-14.0,0.0,74.0,6.3,31688.0,
2014-02-18,0.7,-4.2,0.0,0.0,0.0,31688.0,
2014-02-19,7.8,-1.4,0.6,0.0,0.6,31688.0,
2014-02-20,2.6,-1.0,23.0,0.0,23.0,31688.0,
2014-02-21,5.1,0.7,1.2,0.0,1.2,31688.0,
2014-02-22,4.3,-0.6,0.0,0.0,0.0,31688.0,
2014-02-23,1.4,-4.7,0.0,0.0,0.0,31688.0,
2014-02-24,-4.3,-8.8,0.0,0.0,0.0,31688.0,
2014-02-25,-5.2,-10.4,0.0,0.0,0.0,31688.0,
2014-02-26,-8.2,-14.2,0.0,0.0,0.0,31688.0,
2014-02-27,-8.3,-16.0,0.0,0.0,0.0,31688.0,
2014-02-28,-6.9,-17.7,0.0,0.0,0.0,31688.0,
2014-03-01,-0.7,-10.2,0.0,58.0,5.9,31688.0,
2014-03-02,-8.5,-15.5,0.0,0.0,0.0,31688.0,
2014-03-03,-10.9,-18.4,0.0,0.0,0.0,31688.0,
2014-03-04,-8.1,-15.6,0.0,12.0,0.6,31688.0,
2014-03-05,-4.7,-10.5,0.0,14.0,0.8,31688.0,
2014-03-06,-2.9,-8.6,0.0,0.0,0.0,31688.0,
2014-03-07,2.9,-4.9,0.0,0.0,0.0,31688.0,
2014-03-08,2.8,-6.2,0.0,0.0,0.0,31688.0,
2014-03-09,1.4,-9.2,0.0,0.0,0.0,31688.0,
2014-03-10,6.9,1.2,0.0,0.0,0.0,31688.0,
2014-03-11,10.6,3.9,0.0,6.0,1.2,31688.0,
2014-03-12,4.9,-14.0,0.0,176.0,13.4,31688.0,
2014-03-13,-6.1,-16.5,0.0,0.0,0.0,31688.0,
2014-03-14,10.5,-6.1,0.0,0.0,0.0,31688.0,
2014-03-15,6.1,-7.3,0.0,0.0,0.0,31688.0,
2014-03-16,-7.1,-12.6,0.0,0.0,0.0,31688.0,
2014-03-17,-3.5,-13.8,0.0,0.0,0.0,31688.0,
2014-03-18,2.0,-3.7,0.8,0.0,0.8,31688.0,
2014-03-19,7.1,0.8,0.2,0.0,0.2,31688.0,
2014-03-20,4.3,-1.3,6.8,0.0,6.8,31688.0,
2014-03-21,2.8,-2.5,0.0,0.0,0.0,31688.0,
2014-03-22,3.4,-5.7,0.0,0.0,0.0,31688.0,
2014-03-23,-4.3,-8.9,0.0,0.0,0.0,31688.0,
2014-03-24,-1.9,-9.5,0.0,0.0,0.0,31688.0,
2014-03-25,1.1,-8.4,0.0,0.0,0.0,31688.0,
2014-03-26,-3.0,-10.6,0.2,0.0,0.2,31688.0,
2014-03-27,4.8,-7.2,0.0,0.0,0.0,31688.0,
2014-03-28,10.2,3.0,0.8,0.0,0.8,31688.0,
2014-03-29,3.5,1.5,0.0,0.0,0.0,31688.0,
2014-03-30,9.1,-0.3,0.0,0.0,0.0,31688.0,
2014-03-31,9.9,1.4,0.0,0.0,0.0,31688.0,
2014-04-01,6.5,1.5,0.0,0.0,0.0,45967.0,
2014-04-02,8.8,0.9,0.0,0.0,0.0,31688.0,
2014-04-03,4.4,-0.5,1.9,0.0,1.9,31688.0,
2014-04-04,6.6,1.9,15.7,0.0,15.7,31688.0,
2014-04-05,5.0,-0.1,0.0,0.0,0.0,31688.0,
2014-04-06,10.6,-1.1,0.0,0.0,0.0,31688.0,
2014-04-07,8.8,2.9,21.4,0.0,21.4,31688.0,
2014-04-08,13.7,2.7,0.0,0.0,0.0,31688.0,
2014-04-09,10.4,2.1,0.0,0.0,0.0,31688.0,
2014-04-10,17.5,3.9,0.0,0.0,0.0,31688.0,
2014-04-11,14.0,6.2,0.0,0.0,0.0,31688.0,
2014-04-12,14.2,5.4,8.4,0.0,8.4,31688.0,
2014-04-13,18.4,5.1,0.0,0.0,0.0,31688.0,
2014-04-14,20.3,2.7,17.4,29.0,21.7,31688.0,
2014-04-15,2.8,-4.4,0.0,14.0,1.4,31688.0,45967.0
2014-04-16,3.8,-5.0,0.0,0.0,0.0,31688.0,45967.0
2014-04-17,7.5,0.6,0.0,0.0,0.0,31688.0,45967.0
2014-04-18,11.5,3.0,0.4,0.0,0.4,31688.0,45967.0
2014-04-19,11.9,1.3,0.0,0.0,0.0,31688.0,45967.0
2014-04-20,11.7,3.9,0.0,0.0,0.0,31688.0,45967.0
2014-04-21,19.2,6.9,3.6,0.0,3.6,31688.0,45967.0
2014-04-22,15.1,5.0,0.2,0.0,0.2,31688.0,45967.0
2014-04-23,9.3,3.1,0.0,0.0,0.0,31688.0,45967.0
2014-04-24,12.2,1.8,0.0,0.0,0.0,31688.0,45967.0
2014-04-25,10.6,4.8,3.6,0.0,3.6,31688.0,45967.0
2014-04-26,10.4,4.5,0.0,0.0,0.0,31688.0,45967.0
2014-04-27,11.9,2.9,0.0,0.0,0.0,31688.0,45967.0
2014-04-28,12.6,6.0,0.0,0.0,0.0,31688.0,45967.0
2014-04-29,8.1,5.9,34.2,0.0,34.2,31688.0,45967.0
2014-04-30,6.7,5.1,7.9,0.0,7.9,31688.0,45967.0
2014-05-01,15.0,6.2,0.0,0.0,0.0,31688.0,45967.0
2014-05-02,12.6,8.0,1.0,0.0,1.0,31688.0,45967.0
2014-05-03,11.8,7.7,2.2,0.0,2.2,31688.0,45967.0
2014-05-04,14.5,5.9,0.0,0.0,0.0,31688.0,45967.0
2014-05-05,13.6,5.3,0.0,0.0,0.0,31688.0,45967.0
2014-05-06,14.1,7.3,0.0,0.0,0.0,31688.0,45967.0
2014-05-07,12.8,7.4,0.0,0.0,0.0,31688.0,45967.0
2014-05-08,18.0,9.8,0.8,0.0,0.8,31688.0,45967.0
2014-05-09,20.7,10.6,0.8,0.0,0.8,31688.0,45967.0
2014-05-10,21.3,11.5,0.0,0.0,0.0,31688.0,45967.0
2014-05-11,21.5,9.2,0.0,0.0,0.0,31688.0,45967.0
2014-05-12,21.1,13.4,10.2,0.0,10.2,31688.0,45967.0
2014-05-13,18.9,11.2,2.2,0.0,2.2,31688.0,45967.0
2014-05-14,20.4,13.7,15.0,0.0,15.0,31688.0,45967.0
2014-05-15,21.0,10.4,15.2,0.0,15.2,31688.0,45967.0
2014-05-16,13.5,5.4,0.0,0.0,0.0,31688.0,45967.0
2014-05-17,12.0,4.1,0.0,0.0,0.0,31688.0,45967.0
2014-05-18,15.1,5.6,2.1,0.0,2.1,31688.0,45967.0
2014-05-19,21.2,8.3,0.0,0.0,0.0,31688.0,45967.0
2014-05-20,19.4,12.7,0.4,0.0,0.4,31688.0,45967.0
2014-05-21,20.0,11.6,1.8,0.0,1.8,31688.0,45967.0
2014-05-22,21.7,10.9,0.0,0.0,0.0,31688.0,45967.0
2014-05-23,17.5,10.7,1.2,0.0,1.2,31688.0,45967.0
2014-05-24,23.5,11.1,0.0,0.0,0.0,31688.0,45967.0
2014-05-25,25.3,12.1,0.0,0.0,0.0,31688.0,45967.0
2014-05-26,30.1,16.2,0.0,0.0,0.0,31688.0,45967.0
2014-05-27,26.0,18.5,17.8,0.0,17.8,31688.0,45967.0
2014-05-28,16.8,13.9,0.0,0.0,0.0,31688.0,45967.0
2014-05-29,18.0,13.2,0.0,0.0,0.0,31688.0,45967.0
2014-05-30,25.3,12.5,0.0,0.0,0.0,31688.0,45967.0
2014-05-31,22.5,15.3,0.0,0.0,0.0,31688.0,45967.0
2014-06-01,22.9,12.4,0.0,0.0,0.0,31688.0,45967.0
2014-06-02,26.9,15.0,6.4,0.0,6.4,31688.0,45967.0
2014-06-03,27.4,14.9,4.6,0.0,4.6,31688.0,45967.0
2014-06-04,23.2,13.1,0.0,0.0,0.0,31688.0,45967.0
