,name,province,climate_id,station_id,wmo_id,tc_id,latitude_decimal_degrees,longitude_decimal_degrees,latitude,longitude,elevation_m,start_date,end_date,T_high_avg_nan,T_min_nan,T_low_avg_nan,T_max_nan,period_T_low_nan,period_T_high_nan,T_min_year_nan,day_nan,T_max_year_nan,month_nan,n_almanac_rows
0,ACTIVE PASS,BRITISH COLUMBIA,1010066,14,,,48.87,-123.28,485200000.0,-1231700000.0,4.0,1984.0,1996.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,0
1,ALBERT HEAD,BRITISH COLUMBIA,1010235,15,,,48.4,-123.48,482400000.0,-1232900000.0,17.0,1971.0,1995.0,366.0,5.0,366.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1
2,BAMBERTON OCEAN CEMENT,BRITISH COLUMBIA,1010595,16,,,48.58,-123.52,483500000.0,-1233100000.0,85.3,1961.0,1980.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,2
3,BEAR CREEK,BRITISH COLUMBIA,1010720,17,,,48.5,-124.0,483000000.0,-1240000000.0,350.5,1910.0,1971.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4,BEAVER LAKE,BRITISH COLUMBIA,1010774,18,,,48.5,-123.35,483000000.0,-1232100000.0,61.0,1894.0,1952.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,4
5,BECHER BAY,BRITISH COLUMBIA,1010780,19,,,48.33,-123.63,482000000.0,-1233800000.0,12.2,1956.0,1966.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
6,BRENTWOOD BAY 2,BRITISH COLUMBIA,1010960,20,,,48.6,-123.47,483600000.0,-1232800000.0,38.0,1987.0,1997.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,6
7,BRENTWOOD CLARKE ROAD,BRITISH COLUMBIA,1010961,21,,,48.57,-123.45,483400000.0,-1232700000.0,30.5,1972.0,1980.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,7
8,BRENTWOOD W SAANICH RD,BRITISH COLUMBIA,1010965,22,,,48.57,-123.43,483400000.0,-1232600000.0,91.4,1960.0,1970.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,8
9,BEAR CREEK,BRITISH COLUMBIA,1010PJR,9634,,,48.5,-123.9,483000000.0,-1235400000.0,419.0,,,,,,,,,,,,,9
10,CANOBIE,BRITISH COLUMBIA,1011310,7999,,,48.82,-123.73,484900000.0,-1234400000.0,57.9,,,,,,,,,,,,,10
11,CENTRAL SAANICH VEYANESS,BRITISH COLUMBIA,1011467,25,,,48.58,-123.42,483500000.0,-1232500000.0,53.3,1963.0,1994.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,11
12,CENTRAL SAANICH ISL VIEW,BRITISH COLUMBIA,10114F6,24,,,48.57,-123.39,483424030.0,-1232331660.0,38.0,1970.0,2008.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,12
13,CENTRAL SAANICH TANNER,BRITISH COLUMBIA,10114FF,23,,,48.55,-123.4,483300000.0,-1232400000.0,88.4,1966.0,1968.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,13
14,CHEMAINUS,BRITISH COLUMBIA,1011500,26,,,48.94,-123.74,485606080.0,-1234430000.0,75.0,1919.0,2015.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
15,CHEMAINUS HARBOUR,BRITISH COLUMBIA,1011501,8000,,,48.93,-123.7,485600000.0,-1234200000.0,0.0,,,,,,,,,,,,,15
16,COBBLE HILL,BRITISH COLUMBIA,1011743,27,,,48.68,-123.6,484100000.0,-1233600000.0,99.0,1990.0,1994.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,16
17,COBBLE HILL DELOUME ROAD,BRITISH COLUMBIA,1011745,28,,,48.65,-123.57,483900000.0,-1233400000.0,61.0,1970.0,1981.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,17
18,COLE BAY,BRITISH COLUMBIA,1011775,29,,,48.65,-123.4,483900000.0,-1232400000.0,36.6,1923.0,1942.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,18
19,COLWOOD HATLEY DR,BRITISH COLUMBIA,1011810,30,,,48.42,-123.48,482504000.0,-1232850000.0,75.6,1981.0,2001.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,19
20,COPPER CANYON,BRITISH COLUMBIA,1011860,31,,,48.83,-123.83,485000000.0,-1235000000.0,176.8,1957.0,1959.0,366.0,204.0,366.0,206.0,203.0,203.0,204.0,203.0,206.0,203.0,20
21,CORDOVA BAY,BRITISH COLUMBIA,1011920,32,,,48.53,-123.37,483200000.0,-1232200000.0,37.2,1951.0,1970.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
22,CORDOVA BAY SOUTH,BRITISH COLUMBIA,1011922,33,,,48.52,-123.37,483100000.0,-1232200000.0,26.0,1972.0,1995.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
23,COWICHAN,BRITISH COLUMBIA,1012008,34,,,48.42,-123.7,482500000.0,-1234200000.0,51.8,1904.0,1925.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
24,COWICHAN BAY CHERRY POINT,BRITISH COLUMBIA,1012010,35,,,48.71,-123.56,484240000.0,-1233324000.0,1.0,1913.0,2001.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
25,COWICHAN BAY SOUTHEAST,BRITISH COLUMBIA,1012018,36,,,48.73,-123.6,484400000.0,-1233600000.0,94.0,1989.0,1994.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26,COWICHAN LAKE FORESTRY,BRITISH COLUMBIA,1012040,37,,,48.82,-124.13,484928000.0,-1240800000.0,176.8,1949.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
27,COWICHAN LAKE HATCHERY,BRITISH COLUMBIA,1012046,38,,,48.83,-124.12,485000000.0,-1240700000.0,152.4,1931.0,1948.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
28,COWICHAN LAKE NITINAT,BRITISH COLUMBIA,1012052,39,,,48.93,-124.48,485600000.0,-1242900000.0,189.0,1959.0,1962.0,366.0,366.0,366.0,366.0,13.0,13.0,366.0,13.0,366.0,13.0,28
29,LAKE COWICHAN,BRITISH COLUMBIA,1012055,40,,,48.83,-124.05,484946000.0,-1240308000.0,171.0,1960.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
30,CROFTON,BRITISH COLUMBIA,1012190,41,,,48.82,-123.67,484900000.0,-1234000000.0,30.5,1921.0,1968.0,366.0,366.0,366.0,366.0,0.0,0.0,366.0,0.0,366.0,0.0,30
