date,T_high,T_low,h_rain,h_snow,h_all_precip
2014-01-01,8.0,4.5,4.9,0.0,4.9
2014-01-02,7.0,4.0,15.1,0.0,15.1
2014-01-03,7.5,0.4,0.0,0.0,0.0
2014-01-04,4.6,-4.5,0.0,0.0,0.0
2014-01-05,6.75,-4.5,0.2,0.0,0.2
2014-01-06,3.25,-5.0,7.699999999999999,0.0,7.699999999999999
2014-01-07,4.9,-1.75,5.1,0.0,5.1
2014-01-08,6.75,3.1,19.3,0.0,19.3
2014-01-09,7.25,1.25,13.05,0.0,13.05
2014-01-10,10.5,1.75,77.4,0.0,77.4
2014-01-11,6.5,2.0,36.2,0.0,36.2
2014-01-12,10.5,3.0,53.5,0.0,53.5
2014-01-13,10.0,4.5,1.0,0.0,1.0
2014-01-14,10.0,6.75,0.2,0.0,0.2
2014-01-15,9.25,3.1,0.0,0.0,0.0
2014-01-16,4.9,1.75,0.2,0.0,0.2
2014-01-17,5.2,-0.35,0.0,0.0,0.0
2014-01-18,9.5,-1.9,0.0,0.0,0.0
2014-01-19,7.75,-1.0,0.30000000000000004,0.0,0.30000000000000004
2014-01-20,10.65,0.3999999999999999,0.0,0.0,0.0
2014-01-21,6.8,-2.0,0.0,0.0,0.0
2014-01-22,8.15,2.0,0.4,0.0,0.4
2014-01-23,8.5,-0.75,0.0,0.0,0.0
2014-01-24,14.4,-1.75,0.0,0.0,0.0
2014-01-25,12.1,-1.8,0.0,0.0,0.0
2014-01-26,13.5,-2.8,0.3,0.0,0.3
2014-01-27,8.25,-2.25,4.6,0.0,4.6
2014-01-28,6.8,1.75,9.7,0.0,9.7
2014-01-29,9.75,4.5,4.1,0.0,4.1
2014-01-30,6.2,3.1,0.9,0.0,0.9
2014-01-31,6.0,-1.5,0.0,0.0,0.0
2014-02-01,3.6,-2.0,0.2,0.0,0.2
2014-02-02,5.4,-0.5,0.0,0.0,0.0
2014-02-03,5.0,-3.25,0.0,0.0,0.0
2014-02-04,-0.5,-5.75,0.0,0.0,0.0
2014-02-05,-1.25,-5.25,0.0,0.0,0.0
2014-02-06,-1.25,-7.5,0.0,0.0,0.0
2014-02-07,0.5,-11.5,0.0,0.0,0.0
2014-02-08,2.0,-11.0,0.0,0.0,0.0
2014-02-09,2.5,-8.0,0.0,25.0,2.5
2014-02-10,5.55,-0.5,11.9,0.0,11.9
2014-02-11,6.25,-6.25,46.2,0.0,46.2
2014-02-12,9.4,1.35,14.0,0.0,14.0
2014-02-13,8.0,1.75,21.7,0.0,21.7
2014-02-14,10.5,0.9,2.3,0.0,2.3
2014-02-15,5.0,0.5,43.2,5.0,43.7
2014-02-16,7.5,0.0,62.3,58.0,68.1
2014-02-17,5.25,-0.25,17.6,1.5,17.75
2014-02-18,4.1,-0.25,22.299999999999997,14.0,23.7
2014-02-19,6.0,-0.75,7.9,19.5,9.850000000000001
2014-02-20,7.55,-0.25,1.5,0.0,1.5
2014-02-21,6.0,-1.5,0.0,20.0,2.0
2014-02-22,2.0,-2.0,1.0,80.0,9.0
